Month,State,Cases
2022-01,CA,"2,809,944"
2022-01,TX,"1,591,067"
2022-01,NY,"1,074,055"
2022-01,FL,"544,166"
2022-01,IL,"458,636"
2022-01,PA,"557,606"
2022-01,NC,"748,896"
2022-01,OH,"514,964"
2022-01,NJ,"483,708"
2022-01,MI,"228,627"
2022-01,GA,"467,909"
2022-01,TN,"457,400"
2022-01,AZ,"515,434"
2022-01,MA,"441,834"
2022-01,VA,"405,528"
2022-01,IN,"355,734"
2022-01,WA,"475,991"
2022-01,SC,"409,933"
2022-01,MN,"304,346"
2022-01,MO,"323,165"
2021-12,CA,"779,594"
2021-12,TX,"311,903"
2021-12,NY,"1,009,244"
2021-12,FL,"327,382"
2021-12,IL,"675,755"
2021-12,PA,"366,031"
2021-12,NC,"219,125"
2021-12,OH,"369,033"
2021-12,NJ,"416,229"
2021-12,MI,"143,971"
2021-12,GA,"155,364"
2021-12,TN,"140,765"
2021-12,AZ,"133,183"
2021-12,MA,"250,666"
2021-12,VA,"181,517"
2021-12,IN,"171,693"
2021-12,WA,"115,742"
2021-12,SC,"74,901"
2021-12,MN,"134,417"
2021-12,MO,"124,947"
2020-12,CA,"1,223,516"
2020-12,TX,"539,406"
2020-12,NY,"305,103"
2020-12,FL,"147,641"
2020-12,IL,"199,742"
2020-12,PA,"276,971"
2020-12,NC,"198,567"
2020-12,OH,"250,543"
2020-12,NJ,"160,667"
2020-12,MI,"94,539"
2020-12,GA,"162,800"
2020-12,TN,"204,330"
2020-12,AZ,"216,431"
2020-12,MA,"151,055"
2020-12,VA,"118,996"
2020-12,IN,"167,457"
2020-12,WA,"78,206"
2020-12,SC,"98,238"
2020-12,MN,"78,915"
2020-12,MO,"113,974"
2021-01,CA,"877,422"
2021-01,TX,"700,565"
2021-01,NY,"341,914"
2021-01,FL,"449,550"
2021-01,IL,"127,360"
2021-01,PA,"180,258"
2021-01,NC,"199,651"
2021-01,OH,"214,627"
2021-01,NJ,"165,272"
2021-01,MI,"83,902"
2021-01,GA,"199,468"
2021-01,TN,"119,582"
2021-01,AZ,"198,245"
2021-01,MA,"137,614"
2021-01,VA,"144,894"
2021-01,IN,"101,871"
2021-01,WA,"57,270"
2021-01,SC,"134,190"
2021-01,MN,"38,383"
2021-01,MO,"76,783"
2020-11,CA,"417,622"
2020-11,TX,"320,279"
2020-11,NY,"171,604"
2020-11,FL,"88,663"
2020-11,IL,"306,456"
2020-11,PA,"185,127"
2020-11,NC,"105,238"
2020-11,OH,"227,428"
2020-11,NJ,"132,265"
2020-11,MI,"100,368"
2020-11,GA,"74,109"
2020-11,TN,"136,916"
2020-11,AZ,"104,507"
2020-11,MA,"78,359"
2020-11,VA,"64,425"
2020-11,IN,"173,216"
2020-11,WA,"71,118"
2020-11,SC,"46,663"
2020-11,MN,"183,249"
2020-11,MO,"139,727"
2021-08,CA,"414,900"
2021-08,TX,"495,624"
2021-08,NY,"131,204"
2021-08,FL,"621,532"
2021-08,IL,"116,070"
2021-08,PA,"79,368"
2021-08,NC,"182,990"
2021-08,OH,"106,859"
2021-08,NJ,"62,488"
2021-08,MI,"46,313"
2021-08,GA,"188,521"
2021-08,TN,"188,008"
2021-08,AZ,"90,182"
2021-08,MA,"42,366"
2021-08,VA,"75,745"
2021-08,IN,"97,952"
2021-08,WA,"96,405"
2021-08,SC,"105,223"
2021-08,MN,"41,811"
2021-08,MO,"78,889"
2021-08,(Other),"1,073,179"
2021-09,CA,"252,004"
2021-09,TX,"414,110"
2021-09,NY,"141,506"
2021-09,FL,"197,626"
2021-09,IL,"93,077"
2021-09,PA,"139,950"
2021-09,NC,"167,913"
2021-09,OH,"192,090"
2021-09,NJ,"63,043"
2021-09,MI,"68,143"
2021-09,GA,"150,331"
2021-09,TN,"144,173"
2021-09,AZ,"76,514"
2021-09,MA,"51,018"
2021-09,VA,"90,905"
2021-09,IN,"100,673"
2021-09,WA,"92,947"
2021-09,SC,"133,492"
2021-09,MN,"69,051"
2021-09,MO,"58,405"
2021-09,(Other),"956,990"
2022-07,CA,"593,265"
2022-07,TX,"367,645"
2022-07,NY,"206,107"
2022-07,FL,"179,952"
2022-07,IL,"139,300"
2022-07,PA,"90,148"
2022-07,NC,"135,413"
2022-07,OH,"111,590"
2022-07,NJ,"102,668"
2022-07,MI,"62,920"
2022-07,GA,"105,036"
2022-07,TN,"84,800"
2022-07,AZ,"79,286"
2022-07,MA,"47,974"
2022-07,VA,"75,577"
2022-07,IN,"59,167"
2022-07,WA,"73,414"
2022-07,SC,"59,224"
2022-07,MN,"41,613"
2022-07,MO,"60,878"
2022-07,(Other),"679,209"
2022-05,CA,"415,894"
2022-05,TX,"116,651"
2022-05,NY,"275,816"
2022-05,FL,"156,746"
2022-05,IL,"163,853"
2022-05,PA,"114,438"
2022-05,NC,"109,843"
2022-05,OH,"78,284"
2022-05,NJ,"136,673"
2022-05,MI,"87,310"
2022-05,GA,"42,926"
2022-05,TN,"35,494"
2022-05,AZ,"43,768"
2022-05,MA,"112,350"
2022-05,VA,"48,746"
2022-05,IN,"34,488"
2022-05,WA,"84,181"
2022-05,SC,"28,924"
2022-05,MN,"57,593"
2022-05,MO,"32,436"
2022-05,(Other),"1,006,328"
2022-02,CA,"353,617"
2022-02,TX,"318,710"
2022-02,NY,"92,381"
2022-02,FL,"295,720"
2022-02,IL,"45,032"
2022-02,PA,"73,306"
2022-02,NC,"116,373"
2022-02,OH,"62,840"
2022-02,NJ,"38,307"
2022-02,MI,"223,791"
2022-02,GA,"81,243"
2022-02,TN,"78,515"
2022-02,AZ,"74,076"
2022-02,MA,"50,131"
2022-02,VA,"82,367"
2022-02,IN,"40,786"
2022-02,WA,"75,856"
2022-02,SC,"74,309"
2022-02,MN,"46,268"
2022-02,MO,"41,689"
2022-02,(Other),"704,314"
2022-06,CA,"534,271"
2022-06,TX,"251,363"
2022-06,NY,"167,855"
2022-06,FL,"191,232"
2022-06,IL,"120,606"
2022-06,PA,"73,398"
2022-06,NC,"107,863"
2022-06,OH,"73,309"
2022-06,NJ,"89,216"
2022-06,MI,"55,868"
2022-06,GA,"64,974"
2022-06,TN,"62,041"
2022-06,AZ,"73,161"
2022-06,MA,"51,640"
2022-06,VA,"30,443"
2022-06,IN,"40,086"
2022-06,WA,"81,274"
2022-06,SC,"48,431"
2022-06,MN,"42,935"
2022-06,MO,"51,309"
2022-06,(Other),"667,547"
2022-08,CA,"344,911"
2022-08,TX,"295,338"
2022-08,NY,"163,531"
2022-08,FL,"113,389"
2022-08,IL,"103,301"
2022-08,PA,"89,720"
2022-08,NC,"113,896"
2022-08,OH,"113,335"
2022-08,NJ,"77,466"
2022-08,MI,"74,322"
2022-08,GA,"95,311"
2022-08,TN,"94,152"
2022-08,AZ,"46,757"
2022-08,MA,"41,770"
2022-08,VA,"79,877"
2022-08,IN,"64,518"
2022-08,WA,"43,765"
2022-08,SC,"70,166"
2022-08,MN,"42,050"
2022-08,MO,"46,018"
2022-08,(Other),"624,072"
2021-11,CA,"165,000"
2021-11,TX,"99,865"
2021-11,NY,"185,316"
2021-11,FL,"35,252"
2021-11,IL,"154,884"
2021-11,PA,"176,762"
2021-11,NC,"59,168"
2021-11,OH,"163,736"
2021-11,NJ,"68,894"
2021-11,MI,"121,998"
2021-11,GA,"24,622"
2021-11,TN,"37,620"
2021-11,AZ,"109,928"
2021-11,MA,"77,327"
2021-11,VA,"46,464"
2021-11,IN,"88,249"
2021-11,WA,"46,193"
2021-11,SC,"25,002"
2021-11,MN,"123,430"
2021-11,MO,"49,109"
2021-11,(Other),"668,351"
2021-10,CA,"179,244"
2021-10,TX,"162,477"
2021-10,NY,"121,861"
2021-10,FL,"51,462"
2021-10,IL,"71,951"
2021-10,PA,"131,303"
2021-10,NC,"70,199"
2021-10,OH,"126,254"
2021-10,NJ,"46,191"
2021-10,MI,"93,698"
2021-10,GA,"49,106"
2021-10,TN,"45,072"
2021-10,AZ,"74,707"
2021-10,MA,"40,909"
2021-10,VA,"56,023"
2021-10,IN,"55,749"
2021-10,WA,"65,110"
2021-10,SC,"36,924"
2021-10,MN,"78,326"
2021-10,MO,"32,252"
2021-10,(Other),"668,457"
2021-02,CA,"182,456"
2021-02,TX,"277,546"
2021-02,NY,"200,649"
2021-02,FL,"272,793"
2021-02,IL,"50,185"
2021-02,PA,"81,129"
2021-02,NC,"79,242"
2021-02,OH,"65,510"
2021-02,NJ,"90,824"
2021-02,MI,"35,713"
2021-02,GA,"83,636"
2021-02,TN,"41,174"
2021-02,AZ,"44,799"
2021-02,MA,"54,126"
2021-02,VA,"62,829"
2021-02,IN,"32,057"
2021-02,WA,"23,869"
2021-02,SC,"63,868"
2021-02,MN,"22,114"
2021-02,MO,"23,748"
2021-02,(Other),"387,291"
2020-10,CA,"124,858"
2020-10,TX,"163,154"
2020-10,NY,"74,536"
2020-10,FL,"130,834"
2020-10,IL,"201,027"
2020-10,PA,"54,472"
2020-10,NC,"65,811"
2020-10,OH,"69,141"
2020-10,NJ,"43,913"
2020-10,MI,"43,914"
2020-10,GA,"43,006"
2020-10,TN,"70,004"
2020-10,AZ,"33,343"
2020-10,MA,"28,435"
2020-10,VA,"34,393"
2020-10,IN,"66,539"
2020-10,WA,"24,123"
2020-10,SC,"31,376"
2020-10,MN,"62,163"
2020-10,MO,"70,754"
2020-10,(Other),"662,333"
2021-03,CA,"83,484"
2021-03,TX,"148,485"
2021-03,NY,"223,223"
2021-03,FL,"207,918"
2021-03,IL,"70,138"
2021-03,PA,"102,448"
2021-03,NC,"50,766"
2021-03,OH,"55,282"
2021-03,NJ,"128,214"
2021-03,MI,"89,338"
2021-03,GA,"41,763"
2021-03,TN,"35,447"
2021-03,AZ,"22,922"
2021-03,MA,"58,052"
2021-03,VA,"43,794"
2021-03,IN,"26,540"
2021-03,WA,"26,469"
2021-03,SC,"33,099"
2021-03,MN,"41,085"
2021-03,MO,"17,054"
2021-03,(Other),"333,616"
2022-12,CA,"278,608"
2022-12,TX,"147,633"
2022-12,NY,"201,860"
2022-12,FL,"50,122"
2022-12,IL,"81,569"
2022-12,PA,"62,666"
2022-12,NC,"81,292"
2022-12,OH,"69,519"
2022-12,NJ,"84,118"
2022-12,MI,"53,490"
2022-12,GA,"45,731"
2022-12,TN,"44,998"
2022-12,AZ,"44,578"
2022-12,MA,"46,965"
2022-12,VA,"59,827"
2022-12,IN,"37,549"
2022-12,WA,"25,184"
2022-12,SC,"35,368"
2022-12,MN,"24,078"
2022-12,MO,"33,584"
